2022-08-27 20:08:41,436 训练次数：9 , loss :2.563741445541382
2022-08-27 20:08:41,439 训练次数：10 , loss :2.5651774406433105
2022-08-27 20:08:41,441 训练次数：11 , loss :2.5684382915496826
2022-08-27 20:08:41,442 训练次数：12 , loss :2.5681674480438232
2022-08-27 20:08:41,444 训练次数：13 , loss :2.5620052814483643
2022-08-27 20:08:41,446 训练次数：14 , loss :2.563577175140381
2022-08-27 20:08:41,448 训练次数：15 , loss :2.5633039474487305
2022-08-27 20:08:41,450 训练次数：16 , loss :2.5631649494171143
2022-08-27 20:08:41,452 训练次数：17 , loss :2.566368341445923
2022-08-27 20:08:41,454 训练次数：18 , loss :2.5621213912963867
2022-08-27 20:08:41,456 训练次数：19 , loss :2.56490421295166
2022-08-27 20:08:41,458 训练次数：20 , loss :2.5638911724090576
2022-08-27 20:08:41,459 训练次数：21 , loss :2.565542697906494
2022-08-27 20:08:41,461 训练次数：22 , loss :2.566406011581421
2022-08-27 20:08:41,463 训练次数：23 , loss :2.5679359436035156
2022-08-27 20:08:41,465 训练次数：24 , loss :2.5642738342285156
2022-08-27 20:08:44,639 --------------第7轮训练开始--------------
2022-08-27 20:09:17,097 --------------第1轮训练开始--------------
2022-08-27 20:09:19,375 训练次数：1 , loss :2.5670104026794434
2022-08-27 20:09:19,383 训练次数：2 , loss :2.5667407512664795
2022-08-27 20:09:19,385 训练次数：3 , loss :2.5694613456726074
2022-08-27 20:09:19,387 训练次数：4 , loss :2.5706846714019775
2022-08-27 20:09:19,389 训练次数：5 , loss :2.5648140907287598
2022-08-27 20:09:19,391 训练次数：6 , loss :2.567854166030884
2022-08-27 20:09:19,393 训练次数：7 , loss :2.5670955181121826
2022-08-27 20:09:19,395 训练次数：8 , loss :2.5635194778442383
2022-08-27 20:09:19,397 训练次数：9 , loss :2.565255880355835
2022-08-27 20:09:19,399 训练次数：10 , loss :2.563735246658325
2022-08-27 20:09:19,401 训练次数：11 , loss :2.5634124279022217
2022-08-27 20:09:19,403 训练次数：12 , loss :2.571211338043213
2022-08-27 20:09:19,405 训练次数：13 , loss :2.5653717517852783
2022-08-27 20:09:19,407 训练次数：14 , loss :2.566368818283081
2022-08-27 20:09:19,409 训练次数：15 , loss :2.566042423248291
2022-08-27 20:09:19,411 训练次数：16 , loss :2.5678696632385254
2022-08-27 20:09:19,413 训练次数：17 , loss :2.5691885948181152
2022-08-27 20:09:19,415 训练次数：18 , loss :2.5694499015808105
2022-08-27 20:09:19,418 训练次数：19 , loss :2.5638575553894043
2022-08-27 20:09:19,420 训练次数：20 , loss :2.565929889678955
2022-08-27 20:09:19,422 训练次数：21 , loss :2.5622148513793945
2022-08-27 20:09:19,423 训练次数：22 , loss :2.5693154335021973
2022-08-27 20:09:19,425 训练次数：23 , loss :2.5680031776428223
2022-08-27 20:09:19,427 训练次数：24 , loss :2.5676844120025635
2022-08-27 20:09:21,941 --------------第2轮训练开始--------------
2022-08-27 20:09:24,049 训练次数：1 , loss :2.566985607147217
2022-08-27 20:09:24,062 训练次数：2 , loss :2.566711902618408
2022-08-27 20:09:24,065 训练次数：3 , loss :2.5694425106048584
2022-08-27 20:09:24,067 训练次数：4 , loss :2.5706729888916016
2022-08-27 20:09:24,069 训练次数：5 , loss :2.5648040771484375
2022-08-27 20:09:24,072 训练次数：6 , loss :2.5678458213806152
2022-08-27 20:09:24,074 训练次数：7 , loss :2.567080497741699
2022-08-27 20:09:24,078 训练次数：8 , loss :2.56349778175354
2022-08-27 20:09:24,080 训练次数：9 , loss :2.565247058868408
2022-08-27 20:09:24,083 训练次数：10 , loss :2.563720941543579
2022-08-27 20:09:24,086 训练次数：11 , loss :2.5634045600891113
2022-08-27 20:09:24,088 训练次数：12 , loss :2.5711891651153564
2022-08-27 20:09:24,090 训练次数：13 , loss :2.5653457641601562
2022-08-27 20:09:24,092 训练次数：14 , loss :2.566349506378174
2022-08-27 20:09:24,095 训练次数：15 , loss :2.5660274028778076
2022-08-27 20:09:24,096 训练次数：16 , loss :2.567844867706299
2022-08-27 20:09:24,098 训练次数：17 , loss :2.5691747665405273
2022-08-27 20:09:24,100 训练次数：18 , loss :2.5694334506988525
