28,2022/8/22 22:35:33,109秒,手机提交,直接访问,203.168.5.107(广东-广州),1,2,4,2,8,2,是,4,4,2,3,2,4,5,4,3,2,1,4,3,4,2,3,4,4,3,4,2,3,4,2,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3,4,3,4,3,2,3,4,3,3,4,3,4,3,3,4,3,3,4,3,2,3,3,4,3,4,3,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,283
29,2022/8/22 22:35:55,168秒,手机提交,直接访问,117.136.59.77(吉林-长春),1,1,2,2,8,4,日语,4,4,3,2,3,4,4,4,4,1,2,4,3,3,2,4,4,4,5,5,2,5,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,3,4,4,3,4,5,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,307
30,2022/8/22 22:35:56,238秒,手机提交,直接访问,36.101.150.209(海南-海口),1,3,5,2,7,2,离散数学 微积分 面对对象程序设计,4,4,3,4,5,4,4,5,5,2,3,2,5,5,1,4,5,5,5,5,5,4,3,5,5,2,4,4,5,4,4,2,5,4,4,3,5,5,4,2,2,2,3,4,5,4,3,5,4,4,5,2,3,3,4,3,4,3,4,4,5,5,4,5,2,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,343
31,2022/8/22 22:35:57,101秒,微信,nan,111.26.3.212(吉林-四平),2,1,1,1,11,2,(空),3,4,3,2,3,4,4,4,3,3,2,4,4,4,4,4,4,4,5,5,4,3,3,4,4,3,4,4,4,4,4,2,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,288
33,2022/8/22 22:36:04,242秒,手机提交,直接访问,111.26.2.189(吉林-延边),2,3,4,2,8,1,无,5,5,5,5,5,5,5,4,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,2,5,4,4,5,2,5,5,4,4,5,5,5,5,4,4,4,5,5,5,4,2,4,4,4,4,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,386
34,2022/8/22 22:36:22,201秒,手机提交,直接访问,111.26.2.204(吉林-延边),1,3,4,2,8,1,离散，微积分，物理，数据结构，面向对象,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,3,2,4,3,4,4,4,4,4,3,3,2,4,4,3,3,3,3,4,4,4,3,4,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,292
35,2022/8/22 22:36:31,194秒,手机提交,直接访问,111.26.2.130(吉林-延边),1,2,1,2,8,4,(空),4,4,2,2,2,4,4,4,4,2,2,3,4,4,2,4,4,4,4,4,1,3,3,2,3,3,4,4,4,4,4,1,3,3,5,3,4,4,3,3,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,305
36,2022/8/22 22:36:38,255秒,手机提交,直接访问,111.26.2.79(吉林-延边),1,1,1,2,8,3,Javaee，编译原理,1,2,1,2,1,2,2,2,4,2,2,4,4,4,1,2,2,4,4,5,4,4,4,4,4,2,1,5,2,2,2,2,4,1,4,4,4,4,4,4,4,2,4,4,5,1,2,2,2,4,4,1,4,2,2,2,2,3,3,3,3,3,3,5,4,4,5,5,4,4,4,4,1,4,2,2,4,3,4,4,4,4,3,4,261
37,2022/8/22 22:36:39,179秒,手机提交,直接访问,111.26.2.119(吉林-延边),2,2,1,2,8,3,(空),2,2,2,2,2,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,2,4,3,3,4,4,4,2,4,4,3,3,4,3,3,4,3,3,4,3,4,4,4,3,3,3,3,4,2,3,4,4,2,3,4,3,3,4,3,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,274
38,2022/8/22 22:36:41,257秒,链接,直接访问,202.98.13.131(吉林-长春),1,3,3,2,8,5,(空),3,4,3,2,2,3,4,4,3,3,3,3,3,4,2,4,3,4,4,4,3,4,3,3,3,3,4,4,4,5,4,3,4,3,4,2,4,4,3,4,3,4,3,4,3,4,4,3,4,4,3,3,4,4,4,3,3,3,2,4,4,4,3,4,4,4,3,4,1,3,3,4,3,4,4,3,4,4,4,3,4,4,4,4,291
39,2022/8/22 22:36:45,277秒,手机提交,直接访问,111.26.2.202(吉林-延边),1,3,2,2,8,1,(空),5,5,4,4,4,1,5,5,5,5,3,5,5,5,4,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,1,2,5,5,5,3,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,5,4,5,4,4,5,380
40,2022/8/22 22:36:57,135秒,微信,nan,111.26.2.246(吉林-延边),2,1,1,2,11,3,(空),4,3,3,3,3,3,3,4,4,3,3,3,4,4,2,4,4,5,4,4,2,4,4,4,4,3,3,3,3,3,3,2,4,4,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,278
41,2022/8/22 22:36:59,310秒,手机提交,直接访问,111.26.2.142(吉林-延边),1,3,7,2,8,5,无,1,1,5,3,3,2,1,5,5,5,5,1,3,2,2,3,2,2,3,1,1,5,3,3,3,3,3,5,3,2,4,3,3,2,4,2,1,3,4,2,5,4,1,5,4,2,4,4,2,3,4,2,2,3,4,2,2,3,2,3,2,3,4,3,3,4,2,3,4,2,3,4,2,3,4,2,2,3,3,2,4,2,4,3,246
42,2022/8/22 22:37:03,228秒,微信,nan,111.26.3.44(吉林-四平),2,1,1,1,11,4,(空),4,4,1,3,3,2,2,4,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,2,2,4,4,4,4,1,4,4,4,2,4,4,5,3,3,2,2,2,4,5,5,3,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,2,3,4,4,3,3,4,4,4,4,3,2,2,4,4,4,4,4,4,3,4,299
43,2022/8/22 22:37:07,205秒,微信,nan,111.26.2.69(吉林-延边),2,1,7,2,11,2,高财,4,4,3,3,2,4,4,5,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,3,4,4,4,4,316
44,2022/8/22 22:37:07,248秒,手机提交,直接访问,111.26.3.175(吉林-四平),2,3,3,2,8,1,没有,3,4,1,1,3,5,5,4,2,2,2,4,4,4,2,3,2,4,4,4,5,5,4,5,5,1,5,5,5,5,5,1,4,3,2,4,5,4,5,3,3,4,3,4,1,3,3,5,3,3,3,2,2,3,3,3,4,4,2,4,4,4,4,2,2,4,4,4,2,3,5,3,5,5,5,4,4,4,5,5,5,5,5,5,308
45,2022/8/22 22:37:18,245秒,微信,nan,223.104.16.102(吉林-长春),1,1,1,1,11,4,(空),4,4,4,4,4,2,4,4,4,2,2,2,4,4,2,3,2,2,5,3,1,4,4,5,4,3,4,4,4,4,4,2,4,2,4,3,2,4,4,2,3,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,268
