12,3.375,4.0,4.0,4.1429,3.25,4.1429,4.0
6,3.0,2.3333,3.3333,3.2857,3.0,3.0,3.0
12,3.625,3.3333,2.3333,3.4286,3.5,3.7143,4.0
8,3.5,4.6667,3.1667,4.2857,3.5,4.4286,4.5
14,3.75,3.6667,3.8333,4.0,3.75,3.5714,4.1667
12,2.625,2.8333,2.6667,3.2857,3.0,3.0,3.0
15,4.5,1.8333,2.0,4.0,1.75,1.7143,4.6667
10,3.375,3.5,3.0,3.7143,3.5,4.0,3.6667
9,4.0,3.0,3.0,4.8571,4.5,4.7143,5.0
12,3.25,3.0,2.5,3.5714,3.5,3.5714,2.8333
9,3.375,2.8333,3.1667,1.0,1.75,2.1429,2.6667
12,3.75,3.5,3.6667,3.8571,3.75,3.4286,4.0
10,3.5,3.3333,3.5,3.7143,3.5,4.4286,5.0
12,3.5,3.0,3.0,3.0,3.0,3.0,3.0
15,4.0,5.0,5.0,4.5714,4.5,4.2857,5.0
11,3.625,3.1667,3.0,3.5714,3.25,3.0,3.6667
9,3.625,4.0,3.8333,4.0,4.0,4.0,4.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.5,2.8333,3.0,4.0,3.0,4.1429,4.8333
12,4.25,3.6667,4.0,3.8571,4.0,4.2857,4.0
15,4.0,4.5,4.1667,4.8571,4.75,4.0,4.6667
10,3.25,3.6667,3.6667,3.7143,3.5,3.8571,3.3333
9,4.0,3.8333,3.3333,4.1429,3.0,3.4286,3.0
3,4.125,2.8333,2.5,3.7143,2.5,3.4286,5.0
12,3.75,3.3333,3.8333,5.0,3.25,3.0,3.1667
10,3.25,3.0,3.5,3.4286,3.75,3.0,3.1667
12,3.75,3.8333,4.0,3.1429,4.0,4.0,4.0
8,2.75,1.3333,1.5,2.8571,1.5,2.2857,2.5
13,3.875,4.3333,4.6667,4.1429,4.75,4.2857,4.1667
12,3.5,3.1667,2.8333,4.8571,4.75,5.0,3.6667
9,3.375,3.5,3.8333,4.0,3.75,3.5714,2.1667
12,3.5,3.3333,3.3333,4.5714,3.25,3.7143,3.6667
11,3.75,3.5,3.6667,3.8571,4.0,4.2857,4.3333
13,3.125,4.0,2.8333,3.5714,4.0,4.4286,3.1667
15,4.0,4.0,4.3333,4.2857,4.25,4.2857,4.5
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.5,3.3333,3.6667,3.5714,4.25,4.1429,2.3333
12,3.375,4.0,3.6667,3.7143,3.5,4.0,4.0
12,3.75,3.5,3.5,3.8571,3.75,4.0,4.0
12,3.625,3.3333,3.6667,4.0,3.0,3.2857,3.5
7,3.5,3.3333,3.3333,3.4286,2.0,2.8571,4.0
10,3.625,3.5,3.6667,3.0,2.5,2.8571,3.6667
9,3.25,3.1667,3.0,3.5714,4.0,4.0,3.6667
14,4.125,4.5,3.8333,4.4286,4.5,4.2857,4.8333
3,3.375,2.5,2.6667,3.0,3.0,3.2857,2.8333
12,3.5,3.8333,3.5,4.0,4.0,4.0,4.0
12,3.75,4.0,3.8333,3.7143,3.75,4.0,3.3333
8,3.5,3.0,3.1667,3.7143,3.0,3.2857,4.1667
12,3.125,4.8333,3.5,4.5714,5.0,5.0,4.3333
9,3.125,3.0,3.3333,3.2857,3.0,3.4286,3.8333
12,3.125,3.3333,2.8333,3.0,3.75,3.4286,3.8333
12,3.25,3.1667,2.5,4.8571,3.5,4.0,4.1667
6,4.0,2.6667,2.3333,2.1429,2.5,2.4286,2.5
15,3.5,5.0,4.1667,4.8571,5.0,4.1429,4.6667
12,4.0,4.0,3.6667,4.0,4.25,5.0,4.3333
3,2.0,1.0,1.0,2.7143,1.0,1.5714,1.0
15,4.0,4.0,4.0,4.1429,4.0,4.0,4.6667
6,3.625,3.6667,4.1667,3.8571,4.5,5.0,5.0
9,3.0,2.8333,2.3333,3.4286,2.5,2.5714,2.8333
15,3.875,3.6667,3.5,3.8571,3.25,4.5714,4.0
